hanzi,pinyin,definition 
豪,háo,"brave, heroic, chivalrous"
掩,yǎn,"to cover (with the hand); shut, conceal; ambush"
兼,jiān,"unite, combine; connect; and"
跃,yuè,"skip, jump, frolic"
尸,shī,corpse; to impersonate the dead; to preside; KangXi radical 44
肃,sù,pay respects; reverently
帕,pà,"turban, kerchief, veil; wrap"
驶,shǐ,"sail, drive, pilot; fast, quick"
堡,bǎo,"fort, fortress; town, village"
届,jiè,"numerary adjunct for time, term"
欣,xīn,"happy, joyous, delighted"
惠,huì,"favor, benefit, confer kindness"
册,cè,"book, volume, register, list"
储,chǔ,"save money, store, reserve; heir"
飘,piāo,"whirlwind, cyclone; floating"
桑,sāng,mulberry tree; surname
闲,xián,"fence, guard; defend; idle time"
惨,cǎn,"sad, pitiful, wretched; cruel"
洁,jié,"clean, purify, pure"
踪,zōng,"footprints, traces, tracks"
勃,bó,"suddenly, sudden, quick"
宾,bīn,"guest, visitor; surname; submit"
频,pín,"frequently, again and again"
仇,chóu,"enemy, hate, hatred, enmity"
磨,mó,grind; polish; rub; wear out; a millstone
递,dì,"hand over, deliver; substitute"
邪,xié,"wrong, evil, depraved, vicious, perverse, heterodox"
撞,zhuàng,"knock against, bump into, collide"
拟,nǐ,"draft; intend, plan, propose"
滚,gǔn,turn
奏,zòu,memorialize emperor; report
巡,xún,"patrol, go on circuit, cruise"
颜,yán,"face, facial appearance"
剂,jì,medicinal preparation
绩,jī,spin; achievements
贡,gòng,"offer tribute; tribute, gifts"
疯,fēng,"crazy, insane, mentally ill"
坡,pō,"slope, bank, hillside"
瞧,qiáo,"glance at, look at, see"
截,jié,"cut off, stop, obstruct, intersect"
燃,rán,"burn; light fire, ignite"
焦,jiāo,"burned, scorched; anxious, vexed"
殿,diàn,hall; palace; temple
伪,wěi,"false, counterfeit, bogus"
柳,liǔ,willow tree; pleasure
锁,suǒ,"lock, padlock; shackles, chains"
逼,bī,"compel, pressure, force; bother"
颇,pō,"lean one side; very, rather"
昏,hūn,"dusk, nightfall, twilight, dark"
劝,quàn,"recommend, advise, urge"
呈,chéng,"submit, show; appear; petition"
搜,sōu,"search, seek; investigate"
勤,qín,"industrious, diligent, attentive"
戒,jiè,"warn, caution, admonish"
驾,jià,"to drive, sail, fly; a cart, carriage"
漂,piào,"float, drift; tossed about"
饮,yǐn,drink; swallow; kind of drink
曹,cáo,ministry officials; surname
朵,duǒ,cluster of flowers; earlobe
仔,zǐ,"small thing, child; young animal"
柔,róu,"soft; gentle, pliant"
俩,liǎ,"two, pair"
孟,mèng,"first in series; great, eminent"
腐,fǔ,"rot, decay, spoil; rotten"
幼,yòu,"infant, young child; immature"
践,jiàn,"trample, tread upon, walk on"
籍,jí,"record, register, list; census"
牧,mù,"tend cattle, shepherd"
凉,liáng,"cool, cold; disheartened"
牲,shēng,sacrificial animal; animal
佳,jiā,"good, auspicious; beautiful; delightful"
娜,nà,"elegant, graceful, delicate"
浓,nóng,"thick, strong, concentrated"
芳,fāng,fragrant; virtuous; beautiful
稿,gǎo,"draft, manuscript, rough copy"
竹,zhú,bamboo; flute; KangXi radical 118
腹,fù,"stomach, belly, abdomen; inside"
跌,diē,"stumble, slip, fall down; stamp"
逻,luó,patrol; inspect; watch; patrol
垂,chuí,"let down; suspend, hand; down"
遵,zūn,"obey, comply with, follow; honor"
脉,mài,"blood vessels, veins, arteries"
貌,mào,"countenance, appearance"
柏,bǎi,"cypress, cedar"
狱,yù,"prison, jail; case; lawsuit"
猜,cāi,"guess, conjecture, suppose; feel"
怜,lián,"pity, sympathize"
惑,huò,"confuse, mislead, baffle; doubt"
陶,táo,"pottery, ceramics"
兽,shòu,"beast, animal; bestial"
帐,zhàng,"tent; screen, mosquito net"
饰,shì,"decorate, ornament, adorn"
贷,dài,lend; borrow; pardon
昌,chāng,"light of sun; good, proper"
叙,xù,"express, state, relate, narrate"
躺,tǎng,"lie down, recline"
钢,gāng,"steel; hard, strong, tough"
沟,gōu,"ditch, drain, narrow waterway"
寄,jì,"send, transmit, mail; rely on"
扶,fú,"support, help; protect; hold on"
铺,pù,"shop, store; place sleep, bed"
邓,dèng,surname
寿,shòu,"old age, long life; lifespan"
惧,jù,"fear, be afraid of, dread"
询,xún,"inquire into, ask about; consult"
汤,tāng,"hot water; soup, gravy, broth"
盗,dào,"rob, steal; thief, bandit"
肥,féi,"fat, plump, obese; fertile"
尝,cháng,"taste; experience, experiment"
匆,cōng,"hastily, in haste, hurriedly"
辉,huī,"brightness, luster, brilliance"
奈,nài,"but, how; bear, stand, endure"
扣,kòu,"knock, strike, rap, tap; button"
廷,tíng,court
澳,ào,"inlet, bay; dock, bank"
嘛,ma,final exclamatory particle
董,dǒng,"direct, supervise; surname"
迁,qiān,"move, shift, change; transfer; relocate a capital city"
凝,níng,coagulate; congeal; freeze
慰,wèi,"comfort, console, calm"
厌,yàn,"dislike, detest, reject; satiate"
脏,zàng,"internal organs, viscera; dirty"
腾,téng,fly; gallop; run; prance; rise
幽,yōu,"quiet, secluded, tranquil; dark"
怨,yuàn,"hatred, enmity, resentment"
鞋,xié,"shoes, footwear in general"
丢,diū,discard
埋,mái,"bury, secrete, conceal"
泉,quán,"spring, fountain; wealth, money"
涌,yǒng,"surge up, bubble up, gush forth"
辖,xiá,linchpin of wheel; control
躲,duǒ,"hide, secrete; avoid, escape"
晋,jìn,"advance, increase; promote"
紫,zǐ,"purple, violet; amethyst; surname"
艰,jiān,"difficult, hard; distressing"
魏,wèi,kingdom of Wei; surname
吾,wú,"i, my, our; resist, impede"
慌,huāng,"nervous, panicky, frantic"
祝,zhù,pray for happiness or blessings
邮,yóu,"postal, mail; post office"
吐,tǔ,"vomit, spew out, cough up"
狠,hěn,"vicious, cruel; severely, extreme"
鉴,jiàn,"mirror, looking glass; reflect"
曰,yuē,say; KangXi radical 73
械,xiè,"weapons; implements, instruments"
咬,yǎo,"bite, gnaw"
邻,lín,neighbor; neighborhood
赤,chì,
挤,jǐ,"crowd, squeeze, push against"
弯,wān,"bend, curve"
椅,yǐ,"chair, seat"
陪,péi,"accompany, be with, keep company"
割,gē,"cut, divide, partition; cede"
揭,jiē,"raise, lift up; surname"
韦,wéi,tanned leather; surname; simplified form of KangXi radical number 178
悟,wù,"to apprehend, realize, become aware"
聪,cōng,"intelligent, clever, bright"
雾,wù,"fog, mist, vapor, fine spray"
锋,fēng,"point of spear, sharp point"
梯,tī,"ladder, steps, stairs; lean"
猫,māo,cat
祥,xiáng,"good luck, good omen; happiness"
阔,kuò,"broad, ample, wide; be apart"
誉,yù,"fame, reputation; praise"
筹,chóu,"chip, tally, token; raise money"
丛,cóng,"bush, shrub; thicket; collection"
牵,qiān,"drag, pull, lead by hand"
鸣,míng,cry of bird or animal; make sound
沈,chén,"sink, submerge; addicted to; surname"
阁,gé,"chamber, pavilion; cabinet"
穆,mù,"majestic, solemn, reverent; calm"
屈,qū,"bend, flex; bent, crooked; crouch"
旨,zhǐ,"purpose, aim; excellent"
袖,xiù,sleeve; put something in sleeve
猎,liè,hunt; field sports
臂,bì,arm
蛇,shé,snake
贺,hè,congratulate; send present
柱,zhù,"pillar, post; support; lean on"
抛,pāo,throw (away)
鼠,shǔ,"rat, mouse; KangXi radical 208"
瑟,sè,"large stringed musical instrument; dignified, massive; sound of wind"
戈,gē,"halberd, spear, lance; rad. 62"
牢,láo,"prison; stable, pen; secure"
逊,xùn,"humble, modest; yield"
迈,mài,take a big stride; pass by
欺,qī,"cheat, double-cross, deceive"
吨,dūn,"metric ton; (Cant.) to babble, gibberish"
琴,qín,Chinese lute or guitar
衰,shuāi,"decline, falter, decrease; weaken"
瓶,píng,"jug, pitcher, vase, jar, bottle"
恼,nǎo,"angered, filled with hate"
燕,yàn,"swallow (bird); comfort, enjoy"
仲,zhòng,"middle brother; go between, mediator; surname"
诱,yòu,"persuade, entice, induce; guide"
狼,láng,wolf
池,chí,"pool, pond; moat; cistern"
疼,téng,"aches, pains; be fond of; love"
卢,lú,"cottage, hut; surname; black"
仗,zhàng,"rely upon; protector; fight; war, weaponry"
冠,guān,"cap, crown, headgear"
粒,lì,grain; small particle
遥,yáo,"far away, distant, remote"
吕,lǚ,surname; a musical note
玄,xuán,"deep, profound, abstruse; KangXi radical 95"
尘,chén,"dust, dirt, ashes, cinders"
冯,féng,surname; gallop; by dint of
抚,fǔ,"pat, console, comfort; pacify"
浅,qiǎn,"shallow, not deep; superficial"
敦,dūn,"esteem; honest, candid, sincere"
纠,jiū,"investigate, inspect"
钻,zuān,"drill, bore; pierce; diamond"
晶,jīng,"crystal; clear, bright; radiant"
岂,qǐ,how? what?
峡,xiá,"gorge, strait, ravine; isthmus"
苍,cāng,blue; green
喷,pēn,"spurt, blow out, puff out"
耗,hào,"consume, use up; waste, squander"
凌,líng,pure; virtuous; insult; maltreat
敲,qiāo,"strike, beat, pound, hammer; rap"
菌,jūn,"mushroom; germ, microbe"
赔,péi,"indemnify, suffer loss"
涂,tú,surname; name of certain rivers
粹,cuì,pure; unadulterated; select
扁,biǎn,"flat; tablet, signboard"
亏,kuī,"lose, fail; damage; deficient"
寂,jì,"still, silent, quiet, desolate"
煤,méi,"coal, coke, charcoal, carbon"
熊,xióng,a bear; brilliant; bright; surname
恭,gōng,"respectful, polite, reverent"
湿,shī,"wet, moist, humid, damp; illness"
循,xún,"obey, comply with, follow"
暖,nuǎn,"warm, genial"
糖,táng,sugar; candy; sweets
赋,fù,tax; give; endow; army; diffuse
抑,yì,"press down, repress; curb, hinder"
秩,zhì,order; orderly; salary; decade
帽,mào,"hat, cap; cap-like tops"
哀,āi,"sad, mournful, pitiful; pity"
宿,sù,"stop, rest, lodge, stay overnight; constellation"
踏,tà,"step on, trample, tread on, walk"
烂,làn,"rotten, spoiled, decayed"
袁,yuán,robe; surname
侯,hóu,"marquis, lord; target in archery"
抖,dǒu,"tremble, shake, rouse; give shake"
夹,jiā,be wedged or inserted between
昆,kūn,elder brother; descendants
肝,gān,liver
擦,cā,"wipe, scrub, rub, scour; brush"
猪,zhū,"pig, hog, wild boar"
炼,liàn,"smelt, refine; distill, condense"
恒,héng,"constant, regular, persistent"
慎,shèn,"act with care, be cautious"
搬,bān,"transfer, move, remove, shift"
纽,niǔ,"knot; button; handle, knob; tie"
纹,wén,"line, streak, stripe; wrinkle"
玻,bō,glass
渔,yú,to fish; seize; pursue; surname
磁,cí,magnetic; magnetism; porcelain
铜,tóng,"copper, brass, bronze"
齿,chǐ,"teeth; gears, cogs; age; simplified form of the KangXi radical number 211"
跨,kuà,"straddle, bestride, ride; carry"
押,yā,"mortgage, pledge; deposit; to pawn; to arrest, detain, guard"
怖,bù,"terror, fear; frighten; terrified"
漠,mò,"desert; aloof, indifferent, cool"
疲,pí,"feel tired, be exhausted; weak"
叛,pàn,rebel; rebellion; rebellious
遣,qiǎn,"send, dispatch; send off, exile"
兹,zī,"now, here; this; time, year"
祭,jì,"sacrifice to, worship"
醉,zuì,"intoxicated, drunk; addicted to"
拳,quán,fist; various forms of boxing
弥,mí,"extensive, full; fill; complete"
斜,xié,"slanting, sloping, inclined"
档,dàng,"shelf; frame, crosspiece"
稀,xī,"rare, unusual, scarce; sparse"
捷,jié,"win, victory, triumph"
肤,fū,"skin; superficial, shallow"
疫,yì,"epidemic, plague, pestilence"
肿,zhǒng,swell; swollen; swelling
豆,dòu,"beans, peas; bean-shaped"
削,xuē,"scrape off, pare, trim"
岗,gǎng,post; position
晃,huǎng,"bright, dazzling; to sway, shake"
吞,tūn,"swallow; absorb, annex, engulf"
宏,hóng,"wide, spacious, great, vast"
癌,ái,cancer; marmoset
肚,dù,belly; abdomen; bowels
隶,lì,subservient; servant; KangXi radical 171
履,lǚ,"footwear, shoes; walk on, tread"
涨,zhǎng,rise in price
耀,yào,"shine, sparkle, dazzle; glory"
扭,niǔ,"turn, twist, wrench; seize, grasp"
坛,tán,"altar; arena, examination hall"
拨,bō,move; dispel; distribute
沃,wò,"water, irrigate; fertile, rich"
绘,huì,"draw, sketch, paint"
伐,fá,"cut down, subjugate, attack"
堪,kān,"adequately capable of, worthy of"
仆,pū,"fall forward; lie prostrate, prone; servant"
郭,guō,outer part (of a city); surname
牺,xī,"sacrifice, give up; sacrificial"
歼,jiān,"annihilate, wipe out, kill off"
墓,mù,"grave, tomb"
雇,gù,"employ, to hire"
廉,lián,"upright, honorable, honest"
契,qì,"deed, contract, bond; engrave"
拼,pīn,"join together, link, incorporate"
惩,chéng,"punish, reprimand; warn"
捉,zhuō,"grasp, clutch; catch, seize"
覆,fù,cover; tip over; return; reply
刷,shuā,"brush; clean with brush, scrub"
劫,jié,"take by force, coerce; disaster"
嫌,xián,"hate, detest; suspect; criticize"
瓜,guā,"melon, gourd, cucumber; rad. 97"
歇,xiē,"rest, stop, lodge"
雕,diāo,"engrave, inlay, carve; exhaust; used for 鵰 an eagle, vulture"
闷,mèn,"gloomy, depressed, melancholy"
乳,rǔ,"breast, nipples; milk, suckle"
串,chuàn,string; relatives; conspire
娃,wá,baby; doll; pretty girl
缴,jiǎo,"deliver, submit; hand over"
唤,huàn,call
赢,yíng,"win; surplus, gain, profit"
莲,lián,"lotus, water lily; paradise"
霸,bà,rule by might rather than right
桃,táo,peach; marriage; surname
妥,tuǒ,"satisfactory, appropriate"
瘦,shòu,"thin, emaciated, lean; meager"
搭,dā,"join together, attach to; add to"
赴,fù,"go to; attend, be present"
岳,yuè,mountain peak; surname
嘉,jiā,excellent; joyful; auspicious
舱,cāng,hold of ship; cabin
俊,jùn,"talented, capable; handsome"
址,zhǐ,"site, location, land for house"
庞,páng,"disorderly, messy; huge, big"
耕,gēng,"plow, cultivate"
锐,ruì,"sharp, keen, acute, pointed"
缝,fèng,"sew, mend"
悔,huǐ,"repent, show remorse, regret"
邀,yāo,"invite, welcome; meet, intercept"
玲,líng,tinkling of jade
惟,wéi,"but, however, nevertheless; only"
斥,chì,"to scold, upbraid, accuse, reproach"
宅,zhái,"residence, dwelling, home; grave"
添,tiān,"append, add to; increase"
挖,wā,"dig, dig out, gouge out, scoop"
呵,ā,scold; laughing sound; yawn
讼,sòng,"accuse; argue, dispute; litigate"
氧,yǎng,oxygen
浩,hào,"great, numerous, vast, abundant"
羽,yǔ,"feather, plume; wings; rad. 124"
斤,jīn,"a catty (approximately 500 g); an axe; keen, shrewd; KangXi radical number 69"
酷,kù,"strong, stimulating; very"
掠,lüè,"rob, ransack, plunder; pass by"
妖,yāo,"strange, weird, supernatural"
祸,huò,"misfortune, calamity, disaster"
侍,shì,"serve, attend upon; attendant, servant; samurai"
乙,yǐ,second; 2nd heavenly stem
妨,fáng,"interfere with, impede, obstruct"
贪,tān,"be greedy, covet; covetous"
挣,zhēng,"strive, endeavor, struggle"
汪,wāng,"vast, extensive, deep; surname"
尿,niào,urine; urinate
莉,lì,white jasmine
悬,xuán,"hang, suspend, hoist; be hung"
唇,chún,lips
翰,hàn,"writing brush, pen, pencil"
仓,cāng,granary; berth; sea
轨,guǐ,"track, rut, path"
枚,méi,"stalk of shrub, trunk of tree"
盐,yán,salt
览,lǎn,"look at, inspect; perceive"
傅,fù,"tutor, teacher; assist; surname"
帅,shuài,"commander, commander-in-chief"
庙,miào,"temple, shrine; imperial court"
芬,fēn,"fragrance, aroma; perfume"
屏,píng,"folding screen, shield"
寺,sì,"court, office; temple, monastery"
胖,pàng,"fat, obese; fatty"
璃,lí,glass
愚,yú,"stupid, doltish, foolish"
滴,dī,drip; drop of water
疏,shū,"neglect; careless, lax"
萧,xiāo,common artemisia; dejected
姿,zī,
颤,chàn,"shiver, tremble; trembling"
丑,chǒu,"clown, comedian; 2nd terrestrial branch"
劣,liè,"bad, inferior; slightly"
柯,kē,"axe-handle; stalk, bough; surname"
寸,cùn,"inch; small, tiny; KangXi radical 41"
扔,rēng,"throw, hurl; throw away, cast"
盯,dīng,"rivet gaze upon, keep eyes on"
辱,rǔ,"humiliate, insult, abuse"
匹,pǐ,bolt of cloth; counter for horses
俱,jù,"all, together; accompany"
辨,biàn,"distinguish, discriminate"
饿,è,hungry; greedy for; hunger
蜂,fēng,"bee, wasp, hornet"
哦,ó,oh? really? is that so?
腔,qiāng,chest cavity; hollow in body
郁,yù,"sweet smelling, rich in aroma; (Cant.) to move, hit"
溃,kuì,flooding river; militarily defeat
谨,jǐn,"prudent, cautious; attentive"
糟,zāo,"sediment, dregs; pickle"
葛,gé,edible bean; surname
苗,miáo,sprouts; Miao nationality
肠,cháng,intestines; emotions; sausage
忌,jì,"jealous, envious; fear"
溜,liū,"slide, glide, slip; slippery"
鸿,hóng,species of wild swan; vast
爵,jué,feudal title or rank
鹏,péng,fabulous bird of enormous size
鹰,yīng,falcon; Accipiter species (various)
笼,lóng,cage; cage-like basket
丘,qiū,hill; elder; empty; a name
桂,guì,cassia or cinnamon
滋,zī,"grow, multiply, increase; thrive"
聊,liáo,"somewhat, slightly, at least"
挡,dǎng,"obstruct, impede; stop; resist"
纲,gāng,"heavy rope, hawser; main points"
肌,jī,muscle tissue; meat on bones
茨,cí,"thatching; caltrop, Tribulus terrestris"
壳,ké,"casing, shell, husk"
痕,hén,scar; mark; trace
碗,wǎn,"bowl, small dish"
穴,xué,"cave, den, hole; KangXi radical 116"
膀,bǎng,upper arm; shoulder; wing
卓,zhuō,"profound, brilliant, lofty"
贤,xián,"virtuous, worthy, good; able"
卧,wò,lie down; crouch
膜,mó,membrane; to kneel and worship
毅,yì,"resolute, decisive, firm, persist"
锦,jǐn,"brocade, tapestry; embroidered"
欠,qiàn,"owe, lack, be deficient; KangXi radical number 76"
哩,lī,mile
函,hán,correspondence; a case; a box
茫,máng,"vast, boundless, widespread"
昂,áng,"rise, raise; proud, bold; upright"
薛,xuē,kind of marsh grass; feudal state
皱,zhòu,"wrinkles, creases, folds"
夸,kuā,"extravagant, luxurious; handsome"
豫,yù,"relaxed, comfortable, at ease"
胃,wèi,stomach; gizzard of fowl
舌,shé,tongue; clapper of bell; KangXi radical 135
剥,bō,peel
傲,ào,"proud, haughty, overbearing"
拾,shí,"pick up, collect, tidy up; accounting form of the numeral ten"
窝,wō,"nest; cave, den; hiding place"
睁,zhēng,open eyes; stare
携,xié,"lead by hand, take with; carry"
陵,líng,"hill, mound; mausoleum"
哼,hēng,"hum; sing softly; groan, moan; (Cant.) an interjecting indicating disapproval"
棉,mián,cotton; cotton padded
晴,qíng,"clear weather, fine weather"
铃,líng,bell
填,tián,"fill in, fill up; make good"
饲,sì,raise animals; feed; nourish
渴,kě,"thirsty, parched; yearn, pine"
吻,wěn,kiss; the lips; coinciding
扮,bàn,dress up; dress up as
逆,nì,"disobey, rebel; rebel, traitor"
脆,cuì,"crisp; fragile, frail; brittle"
喘,chuǎn,"pant, gasp, breathe heavily"
罩,zhào,basket for catching fish; cover
卜,bo,fortune telling; prophesy
炉,lú,"fireplace, stove, oven, furnace"
柴,chái,"firewood, faggots, fuel"
愉,yú,"pleasant, delightful; please"
绳,shéng,"rope, string, cord; control"
胎,tāi,"unborn child, embryo, fetus"
蓄,xù,"store, save, hoard, gather"
眠,mián,"close eyes, sleep; hibernate"
竭,jié,put forth great effort; exhaust
喂,wèi,interjection to call attention
傻,shǎ,"foolish, silly, stupid; an imbecile"
慕,mù,"long for, desire; admire"
浑,hún,"muddy, turbid; blend, merge, mix"
奸,jiān,"crafty, villainous, false"
扇,shàn,fan; door panel
柜,guì,"cabinet, cupboard; shop counter"
悦,yuè,"pleased, contented, gratified"
拦,lán,"obstruct, impede, bar, hinder"
诞,dàn,"bear children, give birth; birth"
饱,bǎo,
乾,gān,"dry; first hexagram; warming principle of the sun, penetrating and fertilizing, heavenly generative principle (male)"
泡,pào,"bubbles, suds; blister; soak"
贼,zéi,"thief, traitor; kill"
亭,tíng,pavilion; erect
夕,xī,"evening, night, dusk; slanted"
爹,diē,"father, daddy"
酬,chóu,"toast; reward, recompense"
儒,rú,Confucian scholar
姻,yīn,relatives by marriage
卵,luǎn,egg; ovum; roe; spawn
氛,fēn,"gas, vapor, air"
泄,xiè,leak; vent; flow; reveal
杆,gān,pole; shaft of spear
挨,āi,"near, close by, next to, towards, against; to wait; to lean on"
僧,sēng,"Buddhist priest, monk; san of Sanskrit sangha"
蜜,mì,honey; sweet; nectar
吟,yín,"sing, hum; recite; type of poetry"
猩,xīng,species of orangutan
遂,suì,"comply with, follow along; thereupon"
狭,xiá,"narrow, limited; narrow-minded"
肖,xiào,"look like, resemble, be like"
甜,tián,"sweet, sweetness"
霞,xiá,rosy clouds
驳,bó,"varicolored, variegated; mixed"
裕,yù,"abundant, rich, plentiful"
顽,wán,"obstinate, stubborn; recalcitrant"
於,yú,"in, at, on; interjection alas!"
摘,zhāi,"pluck, pick; select; specify"
矮,ǎi,"short, dwarf; low"
秒,miǎo,beard of grain or corn; a second
卿,qīng,"noble, high officer"
畜,chù,"livestock, domestic animals"
咽,yàn,throat; pharynx
披,pī,wear; split; crack
辅,fǔ,cheek bone; protective; assist
勾,gōu,"hook, join, connect; entice"
盆,pén,"basin, tub, pot, bowl"
疆,jiāng,"boundary, border, frontier"
赌,dǔ,"bet, gamble, wager; compete"
塑,sù,"model in clay, sculpt; plastics"
畏,wèi,"fear, dread, awe, reverence"
吵,chǎo,"argue, dispute; disturb, annoy"
囊,náng,"bag, purse, sack; put in bag"
嗯,ń,final particle
泊,pō,anchor vessel; lie at anchor
肺,fèi,lungs
骤,zhòu,procedure; gallop; sudden(ly)
缠,chán,"wrap, wind around; tie, bind"
冈,gāng,ridge or crest of hill
羞,xiū,"disgrace, shame; ashamed; shy"
瞪,dèng,stare at
吊,diào,"condole, mourn, pity; hang"
贾,jiǎ,"surname; merchant; buy, trade"
漏,lòu,"leak, drip; funnel; hour glass"
斑,bān,"mottled, striped, freckle"
涛,tāo,large waves
悠,yōu,"long, far, remote, distant; liesurely"
鹿,lù,deer; surname; KangXi radical 198
俘,fú,prisoner of war; take as prisoner
锡,xī,"tin, stannum; bestow, confer"
卑,bēi,"humble, low, inferior; despise"
葬,zàng,"bury, inter"
铭,míng,"inscribe, engrave"
滩,tān,"bank, a sandbar, shoal; rapids"
嫁,jià,"to marry, give a daughter in marriage"
催,cuī,"press, urge"
璇,xuán,beautiful jade; star
翅,chì,wings; fin
盒,hé,small box or case; casket
蛮,mán,"barbarians; barbarous, savage"
矣,yǐ,particle of completed action
潘,pān,surname; water in which rice has been rinsed; a river that flows into the Han
歧,qí,fork of road; branching off
赐,cì,"give, bestow favors; appoint"
鲍,bào,abalone; dried fish; surname
锅,guō,"cooking-pot, saucepan"
廊,láng,"corridor, porch, veranda"
拆,chāi,"to break up, split apart, rip open; to destroy"
灌,guàn,"pour; water; irrigate, flood"
勉,miǎn,"endeavor, make effort; urge"
盲,máng,"blind; unperceptive, shortsighted"
宰,zǎi,to slaughter; to rule
佐,zuǒ,"assist, aid, second; subordinate"
啥,shà,what?
胀,zhàng,"swell, inflate, expand"
扯,chě,"rip up, tear down; raise; haul"
禧,xǐ,happiness; congratulations
辽,liáo,"distant, far"
抹,mǒ,"smear, apply, wipe off, erase"
筒,tǒng,thick piece of bamboo; pipe
棋,qí,chess; any game similar to chess
裤,kù,"trousers, pants"
唉,āi,"alas, exclamation of surprise or pain"
朴,pǔ,"simple, unadorned; sincere; surname; a tree"
咐,fù,"instruct, order"
孕,yùn,"be pregnant, pregnancy"
誓,shì,"swear, pledge; oath"
喉,hóu,"throat, gullet, larynx; guttural"
妄,wàng,"absurd, foolish, reckless; false"
拘,jū,"restrain, seize, detain"
链,liàn,"chain, wire, cable; chain, shack"
驰,chí,go quickly or swiftly; hurry
栏,lán,"railing, balustrade; animal pan"
逝,shì,pass away; die
窃,qiè,"secretly, stealthily; steal; thief"
艳,yàn,"beautiful, sexy, voluptuous"
臭,chòu,"smell, stink, emit foul odor"
纤,xiān,"fine, delicate; minute; graceful"
玑,jī,pearl that is not quite round
棵,kē,numerary adjunct for trees
趁,chèn,"take advantage of, avail oneself"
匠,jiàng,"craftsman, artisan; workman"
盈,yíng,"fill; full, overflowing; surplus"
翁,wēng,"old man; father, father-in-law"
愁,chóu,"anxiety; to worry about, be anxious"
瞬,shùn,"wink, blink; in a wink, a flash"
婴,yīng,"baby, infant; bother"
孝,xiào,"filial piety, obedience; mourning"
颈,jǐng,"neck, throat"
倘,tǎng,"if, supposing, in event of"
浙,zhè,Zhejiang province; river
谅,liàng,"excuse, forgive; guess, presume"
蔽,bì,"cover, hide, conceal; shelter"
畅,chàng,"smoothly, freely, unrestrained"
赠,zèng,"give present; bestow, confer"
妮,nī,"maid, servant girl; cute girl"
莎,shā,"kind of sedge grass, used anciently for raincoats"
尉,wèi,"officer, military rank"
冻,dòng,"freeze; cold, congeal; jelly"
跪,guì,kneel
闯,chuǎng,"rush in, burst in, charge in"
葡,pú,grapes
後,hòu,"behind, rear, after; descendents"
厨,chú,kitchen; closet; cupboard
鸭,yā,duck; Anas species (various)
颠,diān,"top, peak, summit; upset"
遮,zhē,"cover, shield, protect"
谊,yì,"friendship; appropriate, suitable"
圳,zhèn,"furrow in field, small drainage ditch"
吁,xū,
仑,lún,"logical reasons, logical order"
辟,pì,"law, rule; open up, develop"
瘤,liú,"tumor, lump, goiter"
嫂,sǎo,
陀,tuó,"steep bank, rough terrain"
框,kuāng,frame; framework; door frame
谭,tán,surname
亨,hēng,"smoothly, progressing, no trouble"
钦,qīn,"respect, admire; respectful"
庸,yōng,"usual, common, ordinary, mediocre"
歉,qiàn,"deficient, lacking, insufficient"
芝,zhī,
吼,hǒu,"roar, shout; bark, howl"
甫,fǔ,"begin; man, father; great; a distance of ten li"
衫,shān,shirt; robe; gown; jacket
摊,tān,"spread out, open; apportion"
宴,yàn,"to entertain, feast; a feast, banquet"
嘱,zhǔ,"order, tell, instruct, leave word"
衷,zhōng,
娇,jiāo,seductive and loveable; tender
陕,shǎn,mountain pass; Shanxi province
矩,jǔ,
浦,pǔ,"bank of river, shore; surname"
讶,yà,"express surprise, be surprised"
耸,sǒng,"urge on; rise up; stir, excite"
裸,luǒ,"bare, nude; undress, strip"
碧,bì,"jade; green, blue"
摧,cuī,"destroy, break, injure"
薪,xīn,"fuel, firewood; salary"
淋,lín,"drip, soak, drench; perfectly"
耻,chǐ,"shame, humiliation; ashamed"
胶,jiāo,"glue, gum, resin, rubber; sound; shin bone"
屠,tú,"butcher, slaughter, massacre"
鹅,é,goose
饥,jī,"hunger, starving; hungry; a famine"
盼,pàn,"look, gaze; expect, hope for"
脖,bó,neck
虹,hóng,rainbow
翠,cuì,color green; kingfisher
崩,bēng,"rupture, split apart, collapse"
账,zhàng,"accounts; bill, debt; credit"
萍,píng,"duckweed; wandering, traveling"
逢,féng,"come upon, happen meet; flatter"
赚,zhuàn,"make money, earn; gain, profit"
撑,chēng,"prop up, support; brace"
翔,xiáng,"soar, glide, hover; detailed"
倡,chàng,"guide, leader; lead, introduce"
绵,mián,"cotton wad; wool; soft, downy"
猴,hóu,"monkey, ape; monkey-like"
枯,kū,"dried out, withered, decayed"
巫,wū,"wizard, sorcerer, witch, shaman"
昭,zhāo,"bright, luminous; illustrious"
怔,zhēng,a disease resembling neurosis
渊,yuān,"surge up, bubble up, gush forth"
凑,còu,"piece together, assemble"
溪,xī,"mountain stream, creek"
蠢,chǔn,wriggle; stupid; silly; fat
禅,chán,
阐,chǎn,"explain, clarify, elucidate"
旺,wàng,prosper; prosperous; increase
寓,yù,residence; lodge; dwell
藤,téng,"rattan, cane; creeper plant"
匪,fěi,"bandits, robbers, gangsters"
伞,sǎn,"umbrella, parasol, parachute"
碑,bēi,stone tablet; gravestone
挪,nuó,"move, shift on one side"
琼,qióng,"jade; rare, precious; elegant; (Cant.) to coagulate"
脂,zhī,"fat, grease, lard; grease"
谎,huǎng,lie
慨,kǎi,"sigh, regret; generous"
